,Indicator_Name,Indicator_Code,Category,Category_ID,Sub_Category,Sub_Category_ID,Area_Type,Area_ID,Unit,threshold_grade_a_x,threshold_grade_b_x,threshold_grade_c_x,threshold_grade_c_y,threshold_grade_b_y,threshold_grade_a_y
0,Average Monthly Household Consumption for Telecommunication by Province (Rupiah),TEL.EXP.HH.PROV.CONSUM.TEL,Telecommunication Expenditure,TELCO_EXP,Telecom Exp,EXP,All,ALL,Rupiah,,,,,,
1,Average Monthly Household Consumption with Telecommunication Expenditure by Province (Rupiah),TEL.EXP.HH.PROV.CONSUM,Telecommunication Expenditure,TELCO_EXP,Telecom Exp,EXP,All,ALL,Rupiah,,,,,,
2,Average Monthly Household Consumption with Telecommunication Expenditure for Food by Province (Rupiah),TEL.EXP.HH.PROV.CONSUM.FOOD,Telecommunication Expenditure,TELCO_EXP,Telecom Exp,EXP,All,ALL,Rupiah,,,,,,
3,Average Monthly Household Consumption with Telecommunication Expenditure for Non-Food Items by Province (Rupiah),TEL.EXP.HH.PROV.CONSUM.NONFOOD,Telecommunication Expenditure,TELCO_EXP,Telecom Exp,EXP,All,ALL,Rupiah,,,,,,
4,Average Number of Active Mobile Phone Numbers per Mobile Household,TEL.MOB.PROV.ACTNUM.AVG,Technology Ownership and Use,TECH_USE,Telephone,TEL,All,ALL,Average,2.728,2.846,2.954,2.73,2.81,2.915
5,Average Number of Household Members Owning Mobile Phones,TEL.MOB.PROV.MEMBERS.AVG,Technology Ownership and Use,TECH_USE,Telephone,TEL,All,ALL,Average,2.41,2.51,2.6,2.4,2.46,2.545
6,Number of Families Subscribed to Fixed Landline Telephones,TEL.LL.SUBS.FAM.PROV,Technology Ownership and Use,TECH_USE,Telephone,TEL,All,ALL,Count,9889.0,17467.25,35033.0,9889.0,17467.25,35033.0
7,Number of Villages by Province and Cell Phone Internet Signal Reception,INF.PROV.INTERNET.SIG,Telecommunication Infrastructure,TELCO_INFRA,BTS Infrastructure,BTS,All,ALL,Count,,,,,,
8,Number of Villages Receiving Cell Phone Signal - Strong Signal,TEL.SIGNAL.PROV.STRONG,Technology Ownership and Use,TECH_USE,Telephone,TEL,All,ALL,Count,948.2,1172.3,1550.39999999999,944.4,1166.3500000000001,1525.4999999999995
9,Number of Villages Receiving Cell Phone Signal - Weak Signal,TEL.SIGNAL.PROV.WEAK,Technology Ownership and Use,TECH_USE,Telephone,TEL,All,ALL,Count,355.0,525.75,684.0,354.0,512.0000000000001,653.0
10,Number of Villages with BTS Towers and Cell Phone Internet Signal Reception,INF.BTS.PROV.INTSIG,Telecommunication Infrastructure,TELCO_INFRA,BTS Infrastructure,BTS,All,ALL,Count,,,,,,
11,Number of Villages with BTS Towers and Cell Phone Signal Reception,INF.BTS.PROV.SIG,Telecommunication Infrastructure,TELCO_INFRA,BTS Infrastructure,BTS,All,ALL,Count,,,,,,
12,Number of Villages with BTS Towers by Province,INF.BTS.PROV,Telecommunication Infrastructure,TELCO_INFRA,BTS Infrastructure,BTS,All,ALL,Count,,,,,,
13,Number of Villages with Internet Facilities in Village/Urban Offices by Province and Condition,INF.INTFAC.OFFICE.PROV.COND,Telecommunication Infrastructure,TELCO_INFRA,Internet Infrastructure,NET,All,ALL,Count,,,,,,
14,Number of Villages without BTS Towers and Cell Phone Signal Reception,INF.NOBTS.PROV.SIG,Telecommunication Infrastructure,TELCO_INFRA,BTS Infrastructure,BTS,All,ALL,Count,,,,,,
